Stock,Year,Adult Escapement,Jack Escapement,Total Escapement,Alaska Catch,Below Mission Catch ,Above Mission Catch,DBE,Run Size
Birkenhead,1952,47041,30345,"77,386",,185093,11550,,274029
Birkenhead,1953,42491,13332,"55,823",,209837,10863,,276523
Birkenhead,1954,18213,22240,"40,453",,192583,4958,,237994
Birkenhead,1955,14553,9897,"24,450",,136298,3575,,164323
Birkenhead,1956,49754,8145,"57,899",,191738,8807,,258444
Birkenhead,1957,14536,9632,"24,168",,129861,5639,,159668
Birkenhead,1958,15166,17889,"33,055",,171432,6043,,210530
Birkenhead,1959,26159,12445,"38,604",,213324,5483,,257411
Birkenhead,1960,36838,3010,"39,848",,167555,7324,,214727
Birkenhead,1961,31681,17946,"49,627",,48803,6826,,105256
Birkenhead,1962,26369,25777,"52,146",,74628,13355,,140129
Birkenhead,1963,48893,18258,"67,151",,171848,12193,,251192
Birkenhead,1964,48908,21031,"69,939",,119956,10533,,200428
Birkenhead,1965,16230,13778,"30,008",,75084,6674,,111766
Birkenhead,1966,20116,61018,"81,134",,118143,5648,,204925
Birkenhead,1967,39876,18160,"58,036",,271400,7236,,336672
Birkenhead,1968,57947,25803,"83,750",,240818,7200,,331768
Birkenhead,1969,37382,27145,"64,527",,191276,4279,,260082
Birkenhead,1970,30656,42104,"72,760",,159314,6610,,238684
Birkenhead,1971,24629,8043,"32,672",,452003,6813,,491488
Birkenhead,1972,54516,58581,"113,097",,240051,5299,,358447
Birkenhead,1973,56653,82642,"139,295",,469939,7330,,616564
Birkenhead,1974,119637,53826,"173,463",,681483,24028,,878975
Birkenhead,1975,61538,31390,"92,928",,249755,11473,,354156
Birkenhead,1976,77305,30816,"108,121",,408731,14018,,530870
Birkenhead,1977,23845,19294,"43,139",,185455,19919,5865,248512
Birkenhead,1978,94782,5075,"99,857",,348926,21567,-1107,471457
Birkenhead,1979,60988,17100,"78,088",,257827,16306,33313,352221
Birkenhead,1980,78613,12309,"90,922",,409593,19279,-35032,554826
Birkenhead,1981,49023,16472,"65,495",,408973,9025,-32204,515697
Birkenhead,1982,119738,9033,"128,771",,489836,21231,-34098,673936
Birkenhead,1983,44029,4812,"48,841",9465,397752,12636,-62722,531417
Birkenhead,1984,40245,2604,"42,849",0,201771,12488,-72163,329270
Birkenhead,1985,11905,25707,"37,612",154,112587,3497,19039,153849
Birkenhead,1986,335630,12664,"348,294",4926,1283884,15691,114871,1652794
Birkenhead,1987,164849,3992,"168,841",841,739667,16032,-125656,1051038
Birkenhead,1988,166591,10736,"177,327",0,331671,15259,-49007,573264
Birkenhead,1989,29334,17369,"46,703",2466,208465,3132,15407,260766
Birkenhead,1990,166773,3489,"170,262",17215,767004,261,-49819,1004562
Birkenhead,1991,293626,22843,"316,469",13530,576536,3835,114925,910370
Birkenhead,1992,185908,32625,"218,533",20742,260637,7922,116784,507835
Birkenhead,1993,244954,5471,"250,425",17071,1358416,,-104850,1730762
Birkenhead,1994,39234,211,"39,445",23127,390496,1122,-82319,536508
Birkenhead,1995,39871,3139,"43,010",13,28889,15369,-17147,104429
Birkenhead,1996,56112,8011,"64,123",1858,45356,1509,8262,112846
Birkenhead,1997,50202,670,"50,872",4062,187304,1378,-17000,260616
Birkenhead,1998,295880,369,"296,249",20635,94332,3531,-62541,477288
Birkenhead,1999,48916,670,"49,586",1441,13777,1364,-120378,186546
Birkenhead,2000,13842,0,"13,842",20,16627,6241,1912,36730
Birkenhead,2001,44450,277,"44,727",940,8539,75,-136,54417
Birkenhead,2002,189500,0,"189,500",12,33203,1851,-18525,243091
Birkenhead,2003,309878,652,"310,530",6481,120862,6769,50797,444642
Birkenhead,2004,37617,56,"37,673",5843,27918,2044,-50017,123495
Birkenhead,2005,53546,898,"54,444",1191,17144,1820,-60927,135526
Birkenhead,2006,266459,80,"266,539",2601,154771,5910,-116086,545908
Birkenhead,2007,93480,47,"93,527",31919,10026,336,19974,135808
Birkenhead,2008,19500,361,"19,861",122,8563,915,-21413,50874
Birkenhead,2009,53977,179,"54,156",490,3621,199,-6535,63175
Birkenhead,2010,128285,180,"128,465",0,152668,,-18858,302638
Birkenhead,2011,227742,1075,"228,817",2238,85610,24903,46704,366988
Birkenhead,2012,56282,224,"56,506",690,22457,4315,-58283,104565
Birkenhead,2013,80086,35,"80,121",1974,3103,143,-3780,94244
Birkenhead,2014,35552,211,"35,763",0,36679,5255,5354,102117
Birkenhead,2015,44973,76,"45,049",5916,3135,51,-19776,61711
Birkenhead,2016,36404,37,"36,441",867,3937,416,-10134,51226
Birkenhead,2017,18629,7,"18,636",603,351,109,-13673,22194
Birkenhead,2018,15041,10,"15,051",470,16121,1638,-12976,35038
Birkenhead,2019,2998,60,"3,058",598,90,0,300,4330
Birkenhead,2020,5308,168,"5,476",236,84,0,-3893,7161
Birkenhead,2021,45853,40,"45,893",4403,485,54,-71442,55932
Birkenhead,2022,127815,1910,"129,725",886,25293,2151,-31918,180959
Birkenhead,2023,75695,198,"75,893",515,1754,3,-121137,104341
Bowron,1952,18784,27,"18,811",,55662,2195,,76668
Bowron,1953,13293,240,"13,533",,44858,1002,,59393
Bowron,1954,10515,259,"10,774",,48910,1305,,60989
Bowron,1955,9350,5,"9,355",,84439,2183,,95977
Bowron,1956,6994,2,"6,996",,26724,461,,34181
Bowron,1957,12011,58,"12,069",,54090,624,,66783
Bowron,1958,14863,28,"14,891",,52372,748,,68011
Bowron,1959,29247,0,"29,247",,51248,1555,,82050
Bowron,1960,7663,0,"7,663",,20737,1244,,29644
Bowron,1961,7460,11,"7,471",,37230,729,,45430
Bowron,1962,6286,6,"6,292",,11732,890,,18914
Bowron,1963,25141,3,"25,144",,28400,3081,,56625
Bowron,1964,1500,0,"1,500",,13982,2196,,17678
Bowron,1965,2659,1,"2,660",,23986,646,,27292
Bowron,1966,2470,10,"2,480",,17344,339,,20163
Bowron,1967,31695,0,"31,695",,167174,3644,,202514
Bowron,1968,3611,23,"3,634",,27516,3654,,34804
Bowron,1969,3872,0,"3,872",,14534,455,,18861
Bowron,1970,1305,36,"1,341",,19934,1074,,22349
Bowron,1971,25497,0,"25,497",,156563,12850,,194910
Bowron,1972,4138,0,"4,138",,41199,4569,,49906
Bowron,1973,4558,142,"4,700",,17943,980,,23623
Bowron,1974,1850,0,"1,850",,12757,2427,,17034
Bowron,1975,29700,0,"29,700",,86366,8271,,124337
Bowron,1976,2250,0,"2,250",,13350,1606,,17206
Bowron,1977,2500,0,"2,500",,7901,314,1539,10714
Bowron,1978,3141,9,"3,150",,12165,552,1273,15867
Bowron,1979,35000,0,"35,000",,84578,6417,-16551,142545
Bowron,1980,2894,0,"2,894",,3715,581,-2279,9469
Bowron,1981,1170,0,"1,170",,4673,129,-555,6526
Bowron,1982,1647,0,"1,647",,14253,519,-15416,31836
Bowron,1983,6451,0,"6,451",0,6751,1685,-15943,30831
Bowron,1984,10461,0,"10,461",0,33931,2624,-25509,72526
Bowron,1985,6395,0,"6,395",0,11887,1388,2673,19670
Bowron,1986,3118,13,"3,131",0,712,1154,-649,5646
Bowron,1987,11071,8,"11,079",0,12615,17846,-15992,57533
Bowron,1988,12780,0,"12,780",0,22511,13931,-8,49231
Bowron,1989,2534,0,"2,534",58,18814,1203,-10225,32834
Bowron,1990,7860,132,"7,992",4,8131,8917,-3632,28676
Bowron,1991,4919,0,"4,919",0,10280,3252,-7677,26128
Bowron,1992,2560,0,"2,560",22,6849,6919,-3696,20046
Bowron,1993,1184,0,"1,184",56,4049,1525,-2692,9506
Bowron,1994,4380,35,"4,415",2,4126,3471,-12348,24362
Bowron,1995,34417,14,"34,431",0,11360,14795,7259,60585
Bowron,1996,8176,0,"8,176",0,1008,1085,3765,10269
Bowron,1997,4811,0,"4,811",300,11100,3207,-17947,37366
Bowron,1998,4751,26,"4,777",5,1981,1151,-2431,10345
Bowron,1999,8238,0,"8,238",0,2714,6438,-17981,35371
Bowron,2000,13440,0,"13,440",11,6411,3086,4335,22949
Bowron,2001,5842,0,"5,842",19,953,7596,-12553,26963
Bowron,2002,8770,0,"8,770",1,4408,1923,-2663,17765
Bowron,2003,6752,0,"6,752",705,17649,8458,-17966,51531
Bowron,2004,916,0,916,113,14982,3459,-8239,27709
Bowron,2005,1730,0,"1,730",3,1136,918,-2101,5888
Bowron,2006,1554,0,"1,554",1,2388,2326,-7582,13851
Bowron,2007,2173,0,"2,173",38,142,1456,-3175,6984
Bowron,2008,1005,0,"1,005",4,2065,4649,-10127,17849
Bowron,2009,1814,0,"1,814",1,223,397,-1926,4249
Bowron,2010,8439,0,"8,439",0,7140,,2032,11815
Bowron,2011,4101,0,"4,101",226,4006,3464,-5650,11103
Bowron,2012,59,0,59,0,1538,3965,-22159,233
Bowron,2013,3257,23,"3,280",1,581,1068,-1709,5527
Bowron,2014,12064,0,"12,064",0,14457,5369,-3658,22497
Bowron,2015,3838,30,"3,868",844,1244,1449,-6970,8270
Bowron,2016,143,0,143,2,81,725,-4498,273
Bowron,2017,244,0,244,103,23,128,-1495,367
Bowron,2018,8406,0,"8,406",2,4669,3034,-8422,19267
Bowron,2019,20,0,20,370,14,23,-630,474
Bowron,2020,344,0,344,0,42,25,-3586,928
Bowron,2021,3158,0,"3,158",721,40,77,912,5349
Bowron,2022,3128,0,"3,128",0,453,715,-2430,5339
Bowron,2023,2508,0,"2,508",0,53,72,-2541,4723
Chilko,1952,485585,4480,"490,065",,1187461,51165,,1728691
Chilko,1953,200691,554,"201,245",,556874,18878,,776997
Chilko,1954,34296,3447,"37,743",,193426,9245,,240414
Chilko,1955,121167,10979,"132,146",,494703,26500,,653349
Chilko,1956,646906,862,"647,768",,1105752,36624,,1790144
